id,user,links,buries,kickouts,all,ratio,dist,,,
1826,tech,17,0,158,158,0,0.8579426638,,,
2285,itdziennik,14,0,23,23,0,0.8579426638,,,
2459,polsek,13,0,73,73,0,0.8579426638,,,
2492,infor-pl,13,0,2,2,0,0.8579426638,,,
2623,almudenar,13,0,33,33,0,0.8579426638,,,
2748,krzychoo2,12,0,53,53,0,0.8579426638,,,
2914,Bedzio,11,0,32,32,0,0.8579426638,,,
2984,marekr601,11,0,30,30,0,0.8579426638,,,
3046,BillyMurcia,11,0,44,44,0,0.8579426638,,,
3250,latinbrand,10,0,96,96,0,0.8579426638,,,
3257,luktom,10,0,58,58,0,0.8579426638,,,
3501,vieviur,10,0,42,42,0,0.8579426638,,,
3529,bratbud,9,0,56,56,0,0.8579426638,,,
3532,karol_cz,9,0,19,19,0,0.8579426638,,,
3540,Sophers,9,0,38,38,0,0.8579426638,,,
3560,vice,9,0,39,39,0,0.8579426638,,,
3589,ewek,9,0,41,41,0,0.8579426638,,,
3593,senniq,9,0,39,39,0,0.8579426638,,,
3802,bodobas,9,0,51,51,0,0.8579426638,,,
3934,kozlowskir1,9,0,29,29,0,0.8579426638,,,
4007,hrabina_von_szlochen,8,0,32,32,0,0.8579426638,,,
4012,Zian,8,0,68,68,0,0.8579426638,,,
4050,jagienka22,8,0,39,39,0,0.8579426638,,,
4107,mdobma,8,0,25,25,0,0.8579426638,,,
4330,triskaidekafil,8,0,46,46,0,0.8579426638,,,
4425,eathan,7,0,17,17,0,0.8579426638,,,
4427,kufel,7,0,0,0,0,0.8579426638,,,
4434,hannah,7,0,74,74,0,0.8579426638,,,
4445,pccentre_pl,7,0,23,23,0,0.8579426638,,,
4469,jarekpl,7,0,23,23,0,0.8579426638,,,
4472,krzyszm,7,0,19,19,0,0.8579426638,,,
4490,nightsamaru,7,0,59,59,0,0.8579426638,,,
4501,plejeru,7,0,29,29,0,0.8579426638,,,
4510,hellhound,7,0,29,29,0,0.8579426638,,,
4608,yezu,7,0,50,50,0,0.8579426638,,,
4636,aeowykop,7,0,34,34,0,0.8579426638,,,
4672,joaluk,7,0,20,20,0,0.8579426638,,,
4828,asia82,7,0,30,30,0,0.8579426638,,,
4862,przemoc,7,0,78,78,0,0.8579426638,,,
4974,thomel,7,0,14,14,0,0.8579426638,,,
4991,jahu16,7,0,19,19,0,0.8579426638,,,
5013,joozef,7,0,33,33,0,0.8579426638,,,
5048,Alex73,6,0,28,28,0,0.8579426638,,,
5060,futomaki,6,0,55,55,0,0.8579426638,,,
5078,wlodiwww,6,0,20,20,0,0.8579426638,,,
5081,atok,6,0,32,32,0,0.8579426638,,,
5083,Stian,6,0,20,20,0,0.8579426638,,,
5089,alleycat,6,0,36,36,0,0.8579426638,,,
5098,prawik,6,0,23,23,0,0.8579426638,,,
5112,occultus,6,0,17,17,0,0.8579426638,,,
5115,cortez,6,0,17,17,0,0.8579426638,,,
5120,www_ksiazka_net_pl,6,0,22,22,0,0.8579426638,,,
5121,kameleon,6,0,1,1,0,0.8579426638,,,
5124,sammersbill2,6,0,4,4,0,0.8579426638,,,
5156,pietrek,6,0,30,30,0,0.8579426638,,,
5161,TELE,6,0,11,11,0,0.8579426638,,,
5289,cesarz121,6,0,15,15,0,0.8579426638,,,
5300,herkules377,6,0,22,22,0,0.8579426638,,,
5316,lowak,6,0,41,41,0,0.8579426638,,,
5325,boxik,6,0,31,31,0,0.8579426638,,,
5336,Lukhasz,6,0,41,41,0,0.8579426638,,,
5339,kania,6,0,14,14,0,0.8579426638,,,
5366,katalizator,6,0,53,53,0,0.8579426638,,,
5447,adiutor,6,0,13,13,0,0.8579426638,,,
5523,albertracing,6,0,16,16,0,0.8579426638,,,
5561,peel,6,0,22,22,0,0.8579426638,,,
5595,cover_wielki,6,0,23,23,0,0.8579426638,,,
5604,Miyokin,6,0,53,53,0,0.8579426638,,,
5814,Kadman,6,0,7,7,0,0.8579426638,,,
5860,Sephirath,6,0,35,35,0,0.8579426638,,,
5876,Bartoszewski,5,0,68,68,0,0.8579426638,,,
5882,marqu,5,0,96,96,0,0.8579426638,,,
5896,rafi23,5,0,42,42,0,0.8579426638,,,
5898,emilw,5,0,47,47,0,0.8579426638,,,
5907,kyokpae,5,0,66,66,0,0.8579426638,,,
5916,jacek_jarecki,5,0,9,9,0,0.8579426638,,,
5919,mrudy,5,0,99,99,0,0.8579426638,,,
5951,dwartecki,5,0,20,20,0,0.8579426638,,,
5973,ciekawy_zycia,5,0,17,17,0,0.8579426638,,,
5978,tonyon3,5,0,26,26,0,0.8579426638,,,
5984,gdaq,5,0,15,15,0,0.8579426638,,,
5997,konread,5,0,28,28,0,0.8579426638,,,
6005,lam33k,5,0,22,22,0,0.8579426638,,,
6015,Fake,5,0,31,31,0,0.8579426638,,,
6063,benrich,5,0,2,2,0,0.8579426638,,,
6072,tomlew89,5,0,15,15,0,0.8579426638,,,
6089,theexp,5,0,44,44,0,0.8579426638,,,
6093,zlato,5,0,5,5,0,0.8579426638,,,
6121,ciemnanoc,5,0,19,19,0,0.8579426638,,,
6140,mariusz_24,5,0,23,23,0,0.8579426638,,,
6161,pr0nboi,5,0,39,39,0,0.8579426638,,,
6176,hmarek,5,0,18,18,0,0.8579426638,,,
6192,sqrt_pi,5,0,9,9,0,0.8579426638,,,
6256,fotogenia,5,0,28,28,0,0.8579426638,,,
6287,sport_fan,5,0,17,17,0,0.8579426638,,,
6299,___,5,0,47,47,0,0.8579426638,,,
6328,_Piotr_,5,0,28,28,0,0.8579426638,,,
6338,kacper3k,5,0,28,28,0,0.8579426638,,,
6360,wombat,5,0,17,17,0,0.8579426638,,,
6414,MisiaPysia,5,0,31,31,0,0.8579426638,,,
6451,kleo,5,0,13,13,0,0.8579426638,,,
6464,rysio_z_klanu,5,0,34,34,0,0.8579426638,,,
6528,Zonix,5,0,16,16,0,0.8579426638,,,
6534,agoya,5,0,8,8,0,0.8579426638,,,
6563,indeks73,5,0,30,30,0,0.8579426638,,,
6636,chowaniec123,5,0,23,23,0,0.8579426638,,,
6682,Sneer5,5,0,10,10,0,0.8579426638,,,
6719,DerekDerek,5,0,17,17,0,0.8579426638,,,
6792,sveiki,5,0,34,34,0,0.8579426638,,,
6797,walerian_m,5,0,12,12,0,0.8579426638,,,
6888,sdali,4,0,19,19,0,0.8579426638,,,
6890,Masiv,4,0,18,18,0,0.8579426638,,,
6892,barek,4,0,24,24,0,0.8579426638,,,
6903,Metternich,4,0,10,10,0,0.8579426638,,,
6904,Blee,4,0,14,14,0,0.8579426638,,,
6907,alladyn,4,0,97,97,0,0.8579426638,,,
6913,alternatywa,4,0,17,17,0,0.8579426638,,,
6922,kubusz,4,0,55,55,0,0.8579426638,,,
6937,masteru,4,0,62,62,0,0.8579426638,,,
6957,jakubb,4,0,16,16,0,0.8579426638,,,
6958,volskparade,4,0,26,26,0,0.8579426638,,,
6962,grzesiek,4,0,20,20,0,0.8579426638,,,
6982,marios85,4,0,23,23,0,0.8579426638,,,
6998,AzraelK,4,0,28,28,0,0.8579426638,,,
7011,skaner17,4,0,32,32,0,0.8579426638,,,
7014,bidzio,4,0,36,36,0,0.8579426638,,,
7019,deltinho,4,0,19,19,0,0.8579426638,,,
7020,mariusz2a,4,0,31,31,0,0.8579426638,,,
7024,eroder,4,0,19,19,0,0.8579426638,,,
7032,bobby,4,0,19,19,0,0.8579426638,,,
7037,tom_valle,4,0,19,19,0,0.8579426638,,,
7048,msgbeepa,4,0,9,9,0,0.8579426638,,,
7055,emmm,4,0,35,35,0,0.8579426638,,,
7059,skandal,4,0,0,0,0,0.8579426638,,,
7060,MarcinLew,4,0,10,10,0,0.8579426638,,,
7061,tierralatina,4,0,37,37,0,0.8579426638,,,
7064,iwan21,4,0,2,2,0,0.8579426638,,,
7090,kozuch,4,0,16,16,0,0.8579426638,,,
7096,Ubot11,4,0,8,8,0,0.8579426638,,,
7097,Devid,4,0,43,43,0,0.8579426638,,,
7100,prepublica,4,0,23,23,0,0.8579426638,,,
7121,kurson,4,0,23,23,0,0.8579426638,,,
7123,mdubiel,4,0,15,15,0,0.8579426638,,,
7126,Stargaser,4,0,4,4,0,0.8579426638,,,
7131,mura,4,0,19,19,0,0.8579426638,,,
7133,skarlcf,4,0,37,37,0,0.8579426638,,,
7141,Roobs,4,0,23,23,0,0.8579426638,,,
7154,lannycabido,4,0,0,0,0,0.8579426638,,,
7182,cherup,4,0,19,19,0,0.8579426638,,,
7183,katbronz,4,0,1,1,0,0.8579426638,,,
7187,Karol-ek,4,0,24,24,0,0.8579426638,,,
7194,swiktor,4,0,34,34,0,0.8579426638,,,
7208,mmarecki,4,0,30,30,0,0.8579426638,,,
7219,momoliu,4,0,17,17,0,0.8579426638,,,
7223,salq,4,0,16,16,0,0.8579426638,,,
7245,ren_ard,4,0,18,18,0,0.8579426638,,,
7255,mach3,4,0,8,8,0,0.8579426638,,,
7285,tzrybka,4,0,21,21,0,0.8579426638,,,
7295,kubatyszko,4,0,10,10,0,0.8579426638,,,
7308,lyzzz,4,0,14,14,0,0.8579426638,,,
7314,pegasia,4,0,29,29,0,0.8579426638,,,
7318,aries,4,0,11,11,0,0.8579426638,,,
7319,faun3,4,0,25,25,0,0.8579426638,,,
7323,redzik,4,0,42,42,0,0.8579426638,,,
7334,AKURAT,4,0,8,8,0,0.8579426638,,,
7345,ebenezer,4,0,17,17,0,0.8579426638,,,
7353,markos95,4,0,16,16,0,0.8579426638,,,
7389,wenigma,4,0,13,13,0,0.8579426638,,,
7395,swiety,4,0,19,19,0,0.8579426638,,,
7414,jakilcz,4,0,20,20,0,0.8579426638,,,
7501,Abdel,4,0,13,13,0,0.8579426638,,,
7528,Dzikus,4,0,71,71,0,0.8579426638,,,
7617,3sekundy,4,0,15,15,0,0.8579426638,,,
7621,kaja-jot,4,0,44,44,0,0.8579426638,,,
7641,trendexpert,4,0,10,10,0,0.8579426638,,,
7668,korzonek,4,0,48,48,0,0.8579426638,,,
7698,ucho,4,0,23,23,0,0.8579426638,,,
7714,osowagora,4,0,29,29,0,0.8579426638,,,
7727,mateusz_holysz,4,0,9,9,0,0.8579426638,,,
7764,limpak,4,0,21,21,0,0.8579426638,,,
7766,nyana178,4,0,13,13,0,0.8579426638,,,
7772,Marien,4,0,8,8,0,0.8579426638,,,
7775,spiety,4,0,25,25,0,0.8579426638,,,
7834,Rzast,4,0,16,16,0,0.8579426638,,,
7900,domino_xyz,4,0,61,61,0,0.8579426638,,,
7933,marszal21,4,0,15,15,0,0.8579426638,,,
8003,akapit,4,0,20,20,0,0.8579426638,,,
8015,bobomam,4,0,14,14,0,0.8579426638,,,
8042,matalko,4,0,10,10,0,0.8579426638,,,
8093,kamiwro,4,0,9,9,0,0.8579426638,,,
8115,toporow,4,0,18,18,0,0.8579426638,,,
8143,sizix,4,0,14,14,0,0.8579426638,,,
8147,frula,4,0,14,14,0,0.8579426638,,,
8153,aca,4,0,14,14,0,0.8579426638,,,
8173,t0m3k_,4,0,20,20,0,0.8579426638,,,
8188,depeszek,4,0,9,9,0,0.8579426638,,,
8230,efierema,4,0,15,15,0,0.8579426638,,,
8319,multikontrast,4,0,7,7,0,0.8579426638,,,
8354,marcin911,4,0,14,14,0,0.8579426638,,,
8403,PeterCub,3,0,18,18,0,0.8579426638,,,
8404,redgard,3,0,43,43,0,0.8579426638,,,
8411,tristan,3,0,3,3,0,0.8579426638,,,
8412,pantadam,3,0,14,14,0,0.8579426638,,,
8419,kwdowicz,3,0,2,2,0,0.8579426638,,,
8421,zbuju,3,0,6,6,0,0.8579426638,,,
8423,deceel,3,0,5,5,0,0.8579426638,,,
8424,drseba,3,0,24,24,0,0.8579426638,,,
8426,ikari,3,0,69,69,0,0.8579426638,,,
8428,krzysztofjaroszek,3,0,10,10,0,0.8579426638,,,
8430,podlus,3,0,28,28,0,0.8579426638,,,
8431,Kovalsky,3,0,16,16,0,0.8579426638,,,
8433,platano,3,0,10,10,0,0.8579426638,,,
8435,mrholek,3,0,14,14,0,0.8579426638,,,
8436,komar,3,0,9,9,0,0.8579426638,,,
8437,adanti,3,0,7,7,0,0.8579426638,,,
8439,gosposia,3,0,6,6,0,0.8579426638,,,
8441,szmugler,3,0,19,19,0,0.8579426638,,,
8446,mlody69,3,0,24,24,0,0.8579426638,,,
8447,BeldziO,3,0,3,3,0,0.8579426638,,,
8452,mjaniec,3,0,9,9,0,0.8579426638,,,
8454,radxcell,3,0,10,10,0,0.8579426638,,,
8458,zenong,3,0,12,12,0,0.8579426638,,,
8459,webman,3,0,21,21,0,0.8579426638,,,
8460,zetzero,3,0,45,45,0,0.8579426638,,,
8466,brydzia,3,0,6,6,0,0.8579426638,,,
8467,mineralny,3,0,17,17,0,0.8579426638,,,
8468,remiq,3,0,25,25,0,0.8579426638,,,
8470,lipa,3,0,28,28,0,0.8579426638,,,
8471,rysio,3,0,1,1,0,0.8579426638,,,
8473,aolaol,3,0,14,14,0,0.8579426638,,,
8475,chrisek,3,0,0,0,0,0.8579426638,,,
8476,tczub,3,0,2,2,0,0.8579426638,,,
8477,yarqs1981,3,0,3,3,0,0.8579426638,,,
8478,gizmo,3,0,36,36,0,0.8579426638,,,
8480,neo76,3,0,17,17,0,0.8579426638,,,
8482,dajpanspokoj,3,0,25,25,0,0.8579426638,,,
8485,Innka,3,0,10,10,0,0.8579426638,,,
8489,iwan,3,0,22,22,0,0.8579426638,,,
8495,magg,3,0,15,15,0,0.8579426638,,,
8500,Cezary_p,3,0,23,23,0,0.8579426638,,,
8501,felix02,3,0,13,13,0,0.8579426638,,,
8503,elpieciks,3,0,13,13,0,0.8579426638,,,
8507,leblee,3,0,30,30,0,0.8579426638,,,
8510,bimbol,3,0,14,14,0,0.8579426638,,,
8511,szafek,3,0,21,21,0,0.8579426638,,,
8516,slawekw1,3,0,9,9,0,0.8579426638,,,
8523,emjey,3,0,12,12,0,0.8579426638,,,
8524,Gruszka,3,0,6,6,0,0.8579426638,,,
8527,gregdml,3,0,15,15,0,0.8579426638,,,
8535,Mavestinus,3,0,12,12,0,0.8579426638,,,
8540,martini,3,0,7,7,0,0.8579426638,,,
8544,qatryk,3,0,29,29,0,0.8579426638,,,
8547,Basior,3,0,17,17,0,0.8579426638,,,
8549,bleach,3,0,12,12,0,0.8579426638,,,
8551,w88wid,3,0,19,19,0,0.8579426638,,,
8557,mcadam,3,0,38,38,0,0.8579426638,,,
8562,Albert,3,0,31,31,0,0.8579426638,,,
8565,mike_mech,3,0,33,33,0,0.8579426638,,,
8571,inirudebwoy,3,0,23,23,0,0.8579426638,,,
8573,emmanish,3,0,8,8,0,0.8579426638,,,
8577,dziubelp,3,0,44,44,0,0.8579426638,,,
8588,pawelsky,3,0,27,27,0,0.8579426638,,,
8592,bobozabawa,3,0,30,30,0,0.8579426638,,,
8595,Jasiek,3,0,9,9,0,0.8579426638,,,
8605,Ranken,3,0,21,21,0,0.8579426638,,,
8607,satkow,3,0,17,17,0,0.8579426638,,,
8613,przygodowki,3,0,4,4,0,0.8579426638,,,
8624,Jacek_FH,3,0,22,22,0,0.8579426638,,,
8630,palik,3,0,10,10,0,0.8579426638,,,
8635,reddi,3,0,15,15,0,0.8579426638,,,
8638,mnabialek,3,0,14,14,0,0.8579426638,,,
8641,egoist,3,0,13,13,0,0.8579426638,,,
8642,knrdk,3,0,9,9,0,0.8579426638,,,
8643,CACHE,3,0,9,9,0,0.8579426638,,,
8645,mosiu,3,0,8,8,0,0.8579426638,,,
8649,ravgps,3,0,6,6,0,0.8579426638,,,
8653,TomWPR,3,0,10,10,0,0.8579426638,,,
8662,hitnews,3,0,1,1,0,0.8579426638,,,
8663,sadus,3,0,15,15,0,0.8579426638,,,
8668,art1218,3,0,9,9,0,0.8579426638,,,
8669,balti,3,0,17,17,0,0.8579426638,,,
8671,utek,3,0,29,29,0,0.8579426638,,,
8673,romanowski1,3,0,45,45,0,0.8579426638,,,
8675,mrpyo,3,0,14,14,0,0.8579426638,,,
8683,Feminalegis,3,0,11,11,0,0.8579426638,,,
8696,rona_ukr,3,0,10,10,0,0.8579426638,,,
8697,krisssch,3,0,23,23,0,0.8579426638,,,
8699,pawli1234,3,0,7,7,0,0.8579426638,,,
8706,rebus,3,0,16,16,0,0.8579426638,,,
8710,yuki-wookie,3,0,5,5,0,0.8579426638,,,
8718,marshall_bananas,3,0,16,16,0,0.8579426638,,,
8725,kataryn,3,0,21,21,0,0.8579426638,,,
8734,DraweK,3,0,44,44,0,0.8579426638,,,
8754,moriakaice,3,0,19,19,0,0.8579426638,,,
8756,bandrzej,3,0,13,13,0,0.8579426638,,,
8759,Flind,3,0,21,21,0,0.8579426638,,,
8766,callista23,3,0,12,12,0,0.8579426638,,,
8785,oczykota,3,0,20,20,0,0.8579426638,,,
8786,przedwczoraj,3,0,10,10,0,0.8579426638,,,
8800,custom-essay,3,0,0,0,0,0.8579426638,,,
8812,szy,3,0,23,23,0,0.8579426638,,,
8813,anb,3,0,25,25,0,0.8579426638,,,
8818,netmaniac,3,0,11,11,0,0.8579426638,,,
8825,BAWAHGUN,3,0,13,13,0,0.8579426638,,,
8829,Makii,3,0,28,28,0,0.8579426638,,,
8833,a65ta,3,0,6,6,0,0.8579426638,,,
8839,Camillo,3,0,10,10,0,0.8579426638,,,
8840,3ED,3,0,15,15,0,0.8579426638,,,
8843,Krolowa_Margot,3,0,32,32,0,0.8579426638,,,
8846,Aajk,3,0,18,18,0,0.8579426638,,,
8855,stomil,3,0,26,26,0,0.8579426638,,,
8869,Kiulik,3,0,6,6,0,0.8579426638,,,
8870,budich,3,0,0,0,0,0.8579426638,,,
8873,pooshh,3,0,34,34,0,0.8579426638,,,
8879,prospero,3,0,2,2,0,0.8579426638,,,
8915,juziu,3,0,8,8,0,0.8579426638,,,
8916,nikon2206,3,0,17,17,0,0.8579426638,,,
8921,kyrczman,3,0,5,5,0,0.8579426638,,,
8924,kwolkan,3,0,22,22,0,0.8579426638,,,
8942,ichimonji,3,0,16,16,0,0.8579426638,,,
8951,maniekgwizdek,3,0,10,10,0,0.8579426638,,,
8960,haniagut,3,0,0,0,0,0.8579426638,,,
8967,ipx666,3,0,12,12,0,0.8579426638,,,
8976,vartan,3,0,14,14,0,0.8579426638,,,
8978,onlinee,3,0,19,19,0,0.8579426638,,,
8980,Calanthe,3,0,19,19,0,0.8579426638,,,
8984,stilitiano,3,0,15,15,0,0.8579426638,,,
8987,cjkas,3,0,17,17,0,0.8579426638,,,
8992,molnatisi,3,0,17,17,0,0.8579426638,,,
9000,google-fan,3,0,25,25,0,0.8579426638,,,
9004,artool,3,0,21,21,0,0.8579426638,,,
9006,boyzelenski,3,0,8,8,0,0.8579426638,,,
9019,Przew,3,0,7,7,0,0.8579426638,,,
9026,tml,3,0,13,13,0,0.8579426638,,,
9028,yag,3,0,7,7,0,0.8579426638,,,
9032,pedziwek,3,0,30,30,0,0.8579426638,,,
9039,jakow,3,0,13,13,0,0.8579426638,,,
9040,aspazja,3,0,23,23,0,0.8579426638,,,
9049,bth,3,0,7,7,0,0.8579426638,,,
9055,twiti7,3,0,5,5,0,0.8579426638,,,
9057,Cinex,3,0,9,9,0,0.8579426638,,,
9060,Salai,3,0,22,22,0,0.8579426638,,,
9065,netfan1,3,0,10,10,0,0.8579426638,,,
9066,viagra,3,0,18,18,0,0.8579426638,,,
9072,wsior,3,0,33,33,0,0.8579426638,,,
9076,gatrun,3,0,4,4,0,0.8579426638,,,
9078,RAFIXXXMMA,3,0,6,6,0,0.8579426638,,,
9080,Parker,3,0,9,9,0,0.8579426638,,,
9083,saper333,3,0,0,0,0,0.8579426638,,,
9093,radek_kostrzewapr,3,0,4,4,0,0.8579426638,,,
9110,jennyjenifer,3,0,0,0,0,0.8579426638,,,
9134,arturrro,3,0,18,18,0,0.8579426638,,,
9142,pigmejbis,3,0,17,17,0,0.8579426638,,,
9146,arch635,3,0,9,9,0,0.8579426638,,,
9175,Ardeni,3,0,8,8,0,0.8579426638,,,
9192,piotrek84,3,0,16,16,0,0.8579426638,,,
9197,rafalManiak,3,0,13,13,0,0.8579426638,,,
9204,gopola,3,0,23,23,0,0.8579426638,,,
9217,Yezzo,3,0,9,9,0,0.8579426638,,,
9222,luczaksebastian,3,0,12,12,0,0.8579426638,,,
9248,voithas,3,0,22,22,0,0.8579426638,,,
9253,radjan,3,0,7,7,0,0.8579426638,,,
9272,FilipT,3,0,14,14,0,0.8579426638,,,
9273,rad66,3,0,15,15,0,0.8579426638,,,
9312,behemot1977,3,0,24,24,0,0.8579426638,,,
9314,b4m3,3,0,7,7,0,0.8579426638,,,
9326,krzyhoo,3,0,72,72,0,0.8579426638,,,
9352,hanshihanshou,3,0,16,16,0,0.8579426638,,,
9362,mikita,3,0,8,8,0,0.8579426638,,,
9365,qbad89,3,0,19,19,0,0.8579426638,,,
9394,multigen,3,0,15,15,0,0.8579426638,,,
9406,wierz,3,0,35,35,0,0.8579426638,,,
9436,hombre,3,0,16,16,0,0.8579426638,,,
9463,Korwinmikke3,3,0,15,15,0,0.8579426638,,,
9467,gosciunew,3,0,10,10,0,0.8579426638,,,
9492,pprzemko,3,0,44,44,0,0.8579426638,,,
9495,bernardina,3,0,17,17,0,0.8579426638,,,
9503,doremi,3,0,16,16,0,0.8579426638,,,
9506,crissy,3,0,16,16,0,0.8579426638,,,
9515,caspa_masta,3,0,9,9,0,0.8579426638,,,
9535,Adora,3,0,17,17,0,0.8579426638,,,
9547,dd66,3,0,5,5,0,0.8579426638,,,
9565,traxx,3,0,39,39,0,0.8579426638,,,
9582,she,3,0,15,15,0,0.8579426638,,,
9597,beazee,3,0,8,8,0,0.8579426638,,,
9598,pajda,3,0,5,5,0,0.8579426638,,,
9604,maXim,3,0,15,15,0,0.8579426638,,,
9614,Mi_to_rybka,3,0,1,1,0,0.8579426638,,,
9638,motedus,3,0,6,6,0,0.8579426638,,,
9653,mitaz,3,0,44,44,0,0.8579426638,,,
9658,Lupe,3,0,12,12,0,0.8579426638,,,
9660,miros,3,0,8,8,0,0.8579426638,,,
9683,wegielkopalny,3,0,4,4,0,0.8579426638,,,
9705,rozwodnik1,3,0,12,12,0,0.8579426638,,,
9707,dunari,3,0,8,8,0,0.8579426638,,,
9739,jesiola007,3,0,24,24,0,0.8579426638,,,
9748,pariah,3,0,10,10,0,0.8579426638,,,
9763,dziunka12,3,0,6,6,0,0.8579426638,,,
9787,petrolemko,3,0,11,11,0,0.8579426638,,,
9793,kolden,3,0,27,27,0,0.8579426638,,,
9795,sharkusia,3,0,13,13,0,0.8579426638,,,
9797,quarniento,3,0,27,27,0,0.8579426638,,,
9808,jarva,3,0,4,4,0,0.8579426638,,,
9810,muscy,3,0,9,9,0,0.8579426638,,,
9846,Trr,3,0,12,12,0,0.8579426638,,,
9847,synec,3,0,7,7,0,0.8579426638,,,
9872,blonDIE,3,0,58,58,0,0.8579426638,,,
9896,noka,3,0,18,18,0,0.8579426638,,,
9899,zet11,3,0,15,15,0,0.8579426638,,,
9916,MoniQuaSs,3,0,4,4,0,0.8579426638,,,
9919,geometria,3,0,14,14,0,0.8579426638,,,
9947,pawlikpost,3,0,13,13,0,0.8579426638,,,
9957,Sabinka1,3,0,11,11,0,0.8579426638,,,
9976,isgard,3,0,6,6,0,0.8579426638,,,
9977,Defender,3,0,23,23,0,0.8579426638,,,
10006,max110,3,0,4,4,0,0.8579426638,,,
10012,Zryty,3,0,21,21,0,0.8579426638,,,
10029,wawrzykos,3,0,29,29,0,0.8579426638,,,
10043,dziwisz,3,0,6,6,0,0.8579426638,,,
10082,jcies,3,0,12,12,0,0.8579426638,,,
10101,bogsiel,3,0,10,10,0,0.8579426638,,,
10123,Radikesz,3,0,31,31,0,0.8579426638,,,
10247,webteam,3,0,10,10,0,0.8579426638,,,
10261,jpikulik,3,0,13,13,0,0.8579426638,,,
10292,DrInteger,3,0,13,13,0,0.8579426638,,,
10331,Tro-jan,3,0,3,3,0,0.8579426638,,,
10343,HALAMApl,3,0,3,3,0,0.8579426638,,,
10381,stabil2000,3,0,8,8,0,0.8579426638,,,
10389,engel,3,0,34,34,0,0.8579426638,,,
10400,MironEr,3,0,3,3,0,0.8579426638,,,
10416,Warczys,3,0,15,15,0,0.8579426638,,,
10424,Hevir,3,0,9,9,0,0.8579426638,,,
10426,czesiu321,3,0,8,8,0,0.8579426638,,,
10464,karolina16,3,0,4,4,0,0.8579426638,,,
10480,Marcin_Karczmarczyk,3,0,5,5,0,0.8579426638,,,
10499,ostatni_sprawiedliwy,3,0,28,28,0,0.8579426638,,,
10523,Eura7,3,0,3,3,0,0.8579426638,,,
10533,b4rt3k007,3,0,14,14,0,0.8579426638,,,
10543,baca0882,3,0,11,11,0,0.8579426638,,,
10579,Kafarek555,3,0,17,17,0,0.8579426638,,,
10582,gizzmo,3,0,6,6,0,0.8579426638,,,
10615,141031,3,0,11,11,0,0.8579426638,,,
10618,rboban,3,0,31,31,0,0.8579426638,,,
10626,cromwell,3,0,23,23,0,0.8579426638,,,
10635,pzdrojewski,3,0,3,3,0,0.8579426638,,,
10641,zabulkamonika,3,0,32,32,0,0.8579426638,,,
10644,marcinito,3,0,7,7,0,0.8579426638,,,
10662,cupido,2,0,17,17,0,0.8579426638,,,
10663,tom60,2,0,37,37,0,0.8579426638,,,
10664,petros,2,0,8,8,0,0.8579426638,,,
10665,guziec,2,0,6,6,0,0.8579426638,,,
10668,lexxss,2,0,17,17,0,0.8579426638,,,
10669,rokita,2,0,34,34,0,0.8579426638,,,
10672,seedman,2,0,11,11,0,0.8579426638,,,
10676,jdzban,2,0,24,24,0,0.8579426638,,,
10678,Draku,2,0,2,2,0,0.8579426638,,,
10679,szmery,2,0,14,14,0,0.8579426638,,,
10680,RAFi,2,0,2,2,0,0.8579426638,,,
10683,pciucho,2,0,11,11,0,0.8579426638,,,
10684,bugaj,2,0,7,7,0,0.8579426638,,,
10686,Dezer,2,0,6,6,0,0.8579426638,,,
10689,isnaqasdu,2,0,14,14,0,0.8579426638,,,
10690,Pogo12,2,0,1,1,0,0.8579426638,,,
10692,czeczek,2,0,20,20,0,0.8579426638,,,
10697,LoPMX,2,0,10,10,0,0.8579426638,,,
10701,pangracek,2,0,12,12,0,0.8579426638,,,
10702,Pawus,2,0,7,7,0,0.8579426638,,,
10703,Dawid,2,0,8,8,0,0.8579426638,,,
10704,kaska,2,0,3,3,0,0.8579426638,,,
10709,chory831,2,0,5,5,0,0.8579426638,,,
10710,tytusk,2,0,4,4,0,0.8579426638,,,
10711,wmaciej,2,0,14,14,0,0.8579426638,,,
10713,shrew,2,0,1,1,0,0.8579426638,,,
10714,grieco,2,0,39,39,0,0.8579426638,,,
10716,marek8888,2,0,1,1,0,0.8579426638,,,
10717,kuldzaba,2,0,21,21,0,0.8579426638,,,
10718,ashka,2,0,5,5,0,0.8579426638,,,
10721,Giuseppe,2,0,72,72,0,0.8579426638,,,
10722,ds01,2,0,4,4,0,0.8579426638,,,
10727,lalamidoroz,2,0,20,20,0,0.8579426638,,,
10731,kocek4,2,0,58,58,0,0.8579426638,,,
10732,mtar83,2,0,1,1,0,0.8579426638,,,
10733,m0yec,2,0,0,0,0,0.8579426638,,,
10738,mariocccp,2,0,0,0,0,0.8579426638,,,
10739,atakujacy,2,0,5,5,0,0.8579426638,,,
10742,dominator,2,0,14,14,0,0.8579426638,,,
10744,Postrach,2,0,2,2,0,0.8579426638,,,
10745,dem_pl,2,0,2,2,0,0.8579426638,,,
10746,manny,2,0,13,13,0,0.8579426638,,,
10747,qbs666,2,0,6,6,0,0.8579426638,,,
10748,ragni,2,0,30,30,0,0.8579426638,,,
10750,szejkerr,2,0,3,3,0,0.8579426638,,,
10752,fruartstudio,2,0,19,19,0,0.8579426638,,,
10753,mariachi,2,0,12,12,0,0.8579426638,,,
